_id,movieId,title,genres,fileImage,,,
"ObjectId(""5aef41cb04dd5631c0b30558"")",18,Next Best Thing, The (2000),Comedy|Drama,NextBestThingThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b30559"")",19,What Planet Are You From? (2000),Comedy|Sci-Fi,WhatPlanetAreYouFrom2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3055a"")",20,Mission to Mars (2000),Sci-Fi,MissiontoMars2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3055b"")",21,Erin Brockovich (2000),Drama,ErinBrockovich2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3055c"")",22,Final Destination (2000),Drama|Thriller,FinalDestination2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3055d"")",23,Romeo Must Die (2000),Action|Crime|Romance|Thriller,RomeoMustDie2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3055e"")",24,Here on Earth (2000),Drama|Romance,HereonEarth2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3055f"")",25,Whatever It Takes (2000),Comedy|Romance,WhateverItTakes2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30560"")",26,Waking the Dead (2000),Drama|Thriller,WakingtheDead2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30561"")",27,High Fidelity (2000),Comedy|Drama|Romance,HighFidelity2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30562"")",28,Skulls, The (2000),Thriller,SkullsThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b30563"")",29,Frequency (2000),Drama|Thriller,Frequency2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30564"")",30,Ready to Rumble (2000),Comedy,ReadytoRumble2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30565"")",31,Return to Me (2000),Drama|Romance,ReturntoMe2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30566"")",32,Rules of Engagement (2000),Drama|Thriller,RulesofEngagement2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30567"")",33,Me Myself I (2000),Comedy|Romance,MeMyselfI2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30568"")",34,28 Days (2000),Drama,28Days2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30569"")",35,American Psycho (2000),Crime|Horror|Mystery|Thriller,AmericanPsycho2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3056a"")",36,Keeping the Faith (2000),Comedy|Drama|Romance,KeepingtheFaith2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3056b"")",37,Where the Money Is (2000),Comedy|Drama,WheretheMoneyIs2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3056c"")",38,Passion of Mind (2000),Drama|Mystery|Romance,PassionofMind2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3056d"")",39,Gossip (2000),Drama|Thriller,Gossip2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3056e"")",40,Love and Basketball (2000),Drama|Romance,LoveandBasketball2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3056f"")",41,U-571 (2000),Action|Thriller|War,U5712000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30570"")",42,Crow: Salvation, The (2000),Action|Horror,CrowSalvationThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b30571"")",43,Where the Heart Is (2000),Comedy|Drama,WheretheHeartIs2000.bTsxMTIwNzU1OTtqOzE3NzY5OzEyMDA7OTAwOzEyMDA,,,
"ObjectId(""5aef41cb04dd5631c0b30572"")",44,Big Kahuna, The (2000),Comedy|Drama,BigKahunaThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b30573"")",45,Bossa Nova (2000),Comedy|Drama|Romance,BossaNova2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30574"")",46,Time Code (2000),Comedy|Drama,TimeCode2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30575"")",47,Gladiator (2000),Action|Adventure|Drama,Gladiator2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30576"")",48,I Dreamed of Africa (2000),Drama,IDreamedofAfrica2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30577"")",49,Up at the Villa (2000),Drama,UpattheVilla2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30578"")",50,Battlefield Earth (2000),Action|Sci-Fi,BattlefieldEarth2000.bTsxMTIwNDU4MztqOzE3NzY5OzEyMDA7MTIwMDsxNjAw,,,
"ObjectId(""5aef41cb04dd5631c0b30579"")",51,Center Stage (2000),Drama|Musical,CenterStage2000.bTsxMTIwNDEzNDtqOzE3NzY5OzEyMDA7MTUwMDsyMDAw,,,
"ObjectId(""5aef41cb04dd5631c0b3057a"")",52,Screwed (2000),Comedy,Screwed2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3057b"")",53,Hamlet (2000),Crime|Drama|Romance|Thriller,Hamlet2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3057c"")",54,Loser (2000),Comedy|Romance,Loser2000.bmp,,,
"ObjectId(""5aef41cb04dd5631c0b3057d"")",55,Road Trip (2000),Comedy,RoadTrip2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3057e"")",56,Small Time Crooks (2000),Comedy|Crime,SmallTimeCrooks2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3057f"")",57,Mission: Impossible II (2000),Action|Adventure|Thriller,MissionImpossibleII2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30580"")",58,Shanghai Noon (2000),Action|Adventure|Comedy|Western,ShanghaiNoon2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30581"")",59,Big Momma's House (2000),Comedy,BigMommasHouse2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30582"")",60,Gone in 60 Seconds (2000),Action|Crime,Gonein60Seconds2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30583"")",61,Love's Labour's Lost (2000),Comedy|Romance,LovesLaboursLost2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30584"")",62,Trixie (2000),Comedy|Crime|Mystery,Trixie2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30585"")",63,Boys and Girls (2000),Comedy|Romance,BoysandGirls2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30586"")",64,Shaft (2000),Action|Crime|Thriller,Shaft2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30587"")",65,Me, Myself & Irene (2000),Adventure|Comedy,MeMyselfIrene2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b30588"")",66,Patriot, The (2000),Action|Drama|War,PatriotThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b30589"")",67,Perfect Storm, The (2000),Drama|Thriller,PerfectStormThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b3058a"")",68,Kid, The (2000),Comedy|Fantasy,KidThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b3058b"")",69,Scary Movie (2000),Comedy|Horror,ScaryMovie2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3058c"")",70,Groove (2000),Drama,Groove2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3058d"")",71,X-Men (2000),Action|Adventure|Sci-Fi,XMen2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3058e"")",72,Chuck & Buck (2000),Comedy|Drama,ChuckBuck2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3058f"")",73,What Lies Beneath (2000),Drama|Horror|Mystery,WhatLiesBeneath2000.bTsxMTIwNDcyMjtqOzE3NzY5OzEyMDA7OTk5OzEzMzI,,,
"ObjectId(""5aef41cb04dd5631c0b30590"")",74,Nutty Professor II: The Klumps (2000),Comedy,NuttyProfessorIITheKlumps2000.bTsxMTIwNTIxNDtqOzE3NzY5OzEyMDA7OTk5OzEzMzI,,,
"ObjectId(""5aef41cb04dd5631c0b30591"")",75,Autumn in New York (2000),Drama|Romance,AutumninNewYork2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30592"")",76,Coyote Ugly (2000),Comedy|Drama|Romance,CoyoteUgly2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30593"")",77,Hollow Man (2000),Horror|Sci-Fi|Thriller,HollowMan2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30594"")",78,Space Cowboys (2000),Action|Adventure|Comedy|Sci-Fi,SpaceCowboys2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30595"")",79,Mad About Mambo (2000),Comedy|Romance,MadAboutMambo2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30596"")",80,Saving Grace (2000),Comedy,SavingGrace2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30597"")",81,I'm the One That I Want (2000),Comedy,ImtheOneThatIWant2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30598"")",82,Tao of Steve, The (2000),Comedy,TaoofSteveThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b30599"")",83,Bless the Child (2000),Thriller,BlesstheChild2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3059a"")",84,Cecil B. DeMented (2000),Comedy,CecilBDeMented2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b3059b"")",85,Opportunists, The (2000),Comedy|Crime|Drama,OpportunistsThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b3059c"")",86,Replacements, The (2000),Comedy,ReplacementsThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b3059d"")",87,Cell, The (2000),Drama|Horror|Thriller,CellThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b3059e"")",88,Art of War, The (2000),Action|Thriller,ArtofWarThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b3059f"")",89,Bring It On (2000),Comedy,BringItOn2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305a0"")",90,Catfish in Black Bean Sauce (2000),Comedy|Drama,CatfishinBlackBeanSauce2000.bTsxMTYxNDQzMTtqOzE3Nzc0OzEyMDA7NzY4OzEwMjQ,,,
"ObjectId(""5aef41cb04dd5631c0b305a1"")",91,Love & Sex (2000),Comedy|Drama|Romance,LoveSex2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305a2"")",92,Steal This Movie! (2000),Drama,StealThisMovie2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305a3"")",93,Highlander: Endgame (Highlander IV) (2000),Action|Adventure|Fantasy,HighlanderEndgameHighlanderIV2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305a4"")",94,Turn It Up (2000),Crime|Drama,TurnItUp2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305a5"")",95,Anatomy (Anatomie) (2000),Horror,AnatomyAnatomie2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305a6"")",96,Nurse Betty (2000),Comedy|Crime|Drama|Romance|Thriller,NurseBetty2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305a7"")",97,Watcher, The (2000),Crime|Thriller,WatcherThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305a8"")",98,Way of the Gun, The (2000),Crime|Thriller,WayoftheGunThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305a9"")",99,Almost Famous (2000),Drama,AlmostFamous2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305aa"")",100,Crime and Punishment in Suburbia (2000),Comedy|Drama,CrimeandPunishmentinSuburbia2000.bTsxMTI5MjA4OTtqOzE3NzcwOzEyMDA7MTI4NzsxNzE2,,,
"ObjectId(""5aef41cb04dd5631c0b305ab"")",101,Duets (2000),Comedy|Drama,Duets2000.bTsxMTI5MTA0NjtqOzE3NzcwOzEyMDA7MjI1MDszMDAw,,,
"ObjectId(""5aef41cb04dd5631c0b305ac"")",102,Urbania (2000),Drama,Urbania2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305ad"")",103,Specials, The (2000),Comedy,SpecialsThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305ae"")",104,Under Suspicion (2000),Crime|Thriller,UnderSuspicion2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305af"")",105,Urban Legends: Final Cut (2000),Horror,UrbanLegendsFinalCut2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305b0"")",106,Woman on Top (2000),Comedy|Romance,WomanonTop2000.bTsxMTI5MjQ4NDtqOzE3NzcwOzEyMDA7MTIzMDsxNjQw,,,
"ObjectId(""5aef41cb04dd5631c0b305b1"")",107,Dancer in the Dark (2000),Drama|Musical,DancerintheDark2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305b2"")",108,Best in Show (2000),Comedy,BestinShow2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305b3"")",109,Broken Hearts Club, The (2000),Drama,BrokenHeartsClubThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305b4"")",110,Girlfight (2000),Drama,Girlfight2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305b5"")",111,Remember the Titans (2000),Drama,RemembertheTitans2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305b6"")",112,Bamboozled (2000),Comedy,Bamboozled2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305b7"")",113,Get Carter (2000),Action|Drama|Thriller,GetCarter2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305b8"")",114,Meet the Parents (2000),Comedy,MeettheParents2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305b9"")",115,Requiem for a Dream (2000),Drama,RequiemforaDream2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305ba"")",116,Tigerland (2000),Drama,Tigerland2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305bb"")",117,Two Family House (2000),Drama,TwoFamilyHouse2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305bc"")",118,Contender, The (2000),Drama|Thriller,ContenderThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305bd"")",119,Dr. T and the Women (2000),Comedy|Romance,DrTandtheWomen2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305be"")",120,Ladies Man, The (2000),Comedy,LadiesManThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305bf"")",121,Lost Souls (2000),Drama|Horror|Thriller,LostSouls2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305c0"")",122,Billy Elliot (2000),Drama,BillyElliot2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305c1"")",123,Bedazzled (2000),Comedy,Bedazzled2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305c2"")",124,Pay It Forward (2000),Drama,PayItForward2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305c3"")",125,Book of Shadows: Blair Witch 2 (2000),Crime|Horror|Mystery|Thriller,BookofShadowsBlairWitch22000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305c4"")",126,Lucky Numbers (2000),Comedy|Drama,LuckyNumbers2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305c5"")",127,Stardom (2000),Comedy|Drama,Stardom2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305c6"")",128,Charlie's Angels (2000),Action|Comedy,CharliesAngels2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305c7"")",129,Legend of Bagger Vance, The (2000),Drama|Romance,LegendofBaggerVanceThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305c8"")",130,Little Nicky (2000),Comedy,LittleNicky2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305c9"")",131,Men of Honor (2000),Drama,MenofHonor2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305ca"")",132,Red Planet (2000),Action|Sci-Fi|Thriller,RedPlanet2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305cb"")",133,You Can Count on Me (2000),Drama|Romance,YouCanCountonMe2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305cc"")",134,6th Day, The (2000),Action|Sci-Fi|Thriller,6thDayThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305cd"")",135,Bounce (2000),Drama|Romance,Bounce2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305ce"")",136,Malèna (2000),Drama|Romance|War,Malèna2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305cf"")",137,Quills (2000),Drama|Romance,Quills2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305d0"")",138,Unbreakable (2000),Drama|Sci-Fi,Unbreakable2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305d1"")",139,Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000),Action|Drama|Romance,CrouchingTigerHiddenDragonWohucanglong2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305d2"")",140,Dungeons & Dragons (2000),Action|Adventure|Comedy|Fantasy,DungeonsDragons2000.MqQPibUVTcMOIUIi5_yIn8Js0hAE4NSJftIHJuyobCWbqEKmmhMUtAimNR8rLUDtBEkUIzcR4nqDrFVfmsuqQLW8KdffDDRfM9fgZaqW6Hid1GQeteMu2GFxD0LZES8sNBnfQssm9eIZLw_5aFHnPjYbze3Zw30cpgp7xsdmwOym1wyrQ3Vu4-&w=480&h=270&format=jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305d3"")",141,Proof of Life (2000),Drama,ProofofLife2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305d4"")",142,Vertical Limit (2000),Action|Adventure,VerticalLimit2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305d5"")",143,Snatch (2000),Comedy|Crime|Thriller,Snatch2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305d6"")",144,Chocolat (2000),Drama|Romance,Chocolat2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305d7"")",145,Dude, Where's My Car? (2000),Comedy|Sci-Fi,DudeWheresMyCar2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305d8"")",146,Pollock (2000),Drama,Pollock2000.bTsxMTI5MDk4NztqOzE3NzcwOzEyMDA7MjI1MDszMDAw,,,
"ObjectId(""5aef41cb04dd5631c0b305d9"")",147,What Women Want (2000),Comedy|Romance,WhatWomenWant2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305da"")",148,Finding Forrester (2000),Drama,FindingForrester2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305db"")",149,Gift, The (2000),Thriller,GiftThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305dc"")",150,Before Night Falls (2000),Drama,BeforeNightFalls2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305dd"")",151,Cast Away (2000),Drama,CastAway2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305de"")",152,Family Man, The (2000),Comedy|Drama|Romance,FamilyManThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305df"")",153,House of Mirth, The (2000),Romance,HouseofMirthThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305e0"")",154,Miss Congeniality (2000),Comedy|Crime,MissCongeniality2000.bTsxMTE3MzkyNjtqOzE3NzY5OzEyMDA7ODAwOzEyMDA,,,
"ObjectId(""5aef41cb04dd5631c0b305e1"")",155,O Brother, Where Art Thou? (2000),Adventure|Comedy|Crime,OBrotherWhereArtThou2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305e2"")",156,State and Main (2000),Comedy|Drama,StateandMain2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305e3"")",157,Dracula 2000 (2000),Horror,Dracula20002000.bTsxMjIwMTQyMztqOzE3NjkxOzEyMDA7MzM1OzQ3NQ,,,
"ObjectId(""5aef41cb04dd5631c0b305e4"")",158,All the Pretty Horses (2000),Drama|Romance|Western,AllthePrettyHorses2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305e5"")",159,Thirteen Days (2000),Drama|Thriller|War,ThirteenDays2000.bTsxMTIwNzU3MTtqOzE3NzY5OzEyMDA7MTUzNjsyMDQ4,,,
"ObjectId(""5aef41cb04dd5631c0b305e6"")",160,Traffic (2000),Crime|Drama|Thriller,Traffic2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305e7"")",161,Claim, The (2000),Romance|Western,ClaimThe2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305e8"")",162,Shadow of the Vampire (2000),Drama|Horror,ShadowoftheVampire2000.bTsxMTIwOTA0NTtqOzE3NzY5OzEyMDA7MTUzNjsyMDQ4,,,
"ObjectId(""5aef41cb04dd5631c0b305e9"")",163,Antitrust (2001),Crime|Drama|Thriller,Antitrust2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305ea"")",164,Double Take (2001),Action|Comedy,DoubleTake2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305eb"")",165,Save the Last Dance (2001),Drama|Romance,SavetheLastDance2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305ec"")",166,Panic (2000),Drama,Panic2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305ed"")",167,Pledge, The (2001),Crime|Drama|Mystery|Thriller,PledgeThe2001.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305ee"")",168,Sugar & Spice (2001),Comedy,SugarSpice2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305ef"")",169,Wedding Planner, The (2001),Comedy|Romance,WeddingPlannerThe2001.bTsxMTIwNzUyNjtqOzE3NzY5OzEyMDA7MTgwMDsyNDAw,,
"ObjectId(""5aef41cb04dd5631c0b305f0"")",170,Invisible Circus, The (2001),Drama|Romance,InvisibleCircusThe2001.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305f1"")",171,With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000),Drama|Thriller,WithaFriendLikeHarryHarryunamiquivousveutdubien2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305f2"")",172,Head Over Heels (2001),Comedy|Romance,HeadOverHeels2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305f3"")",173,Left Behind: The Movie (2000),Action|Adventure|Drama|Thriller,LeftBehindTheMovie2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305f4"")",174,Valentine (2001),Horror|Mystery,Valentine2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305f5"")",175,In the Mood For Love (Fa yeung nin wa) (2000),Drama|Romance,IntheMoodForLoveFayeungninwa2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305f6"")",176,Million Dollar Hotel, The (2001),Drama|Mystery|Romance,MillionDollarHotelThe2001.bTsxMTIwOTUwNjtqOzE3NzY5OzEyMDA7OTg3OzEzMTY,,
"ObjectId(""5aef41cb04dd5631c0b305f7"")",177,Hannibal (2001),Horror|Thriller,Hannibal2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305f8"")",178,Saving Silverman (Evil Woman) (2001),Comedy|Romance,SavingSilvermanEvilWoman2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305f9"")",179,Taste of Others, The (Le goût des autres) (2000),Comedy|Drama|Romance,TasteofOthersTheLegoûtdesautres2000.jpg,,
"ObjectId(""5aef41cb04dd5631c0b305fa"")",180,Down to Earth (2001),Comedy|Fantasy|Romance,DowntoEarth2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305fb"")",181,Sweet November (2001),Drama|Romance,SweetNovember2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305fc"")",182,Company Man (2000),Comedy,CompanyMan2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305fd"")",183,Monkeybone (2001),Animation|Comedy|Fantasy,Monkeybone2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305fe"")",184,3000 Miles to Graceland (2001),Action|Thriller,3000MilestoGraceland2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b305ff"")",185,Mexican, The (2001),Action|Comedy,MexicanThe2001.jpg,,
"ObjectId(""5aef41cb04dd5631c0b30600"")",186,See Spot Run (2001),Comedy,SeeSpotRun2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30601"")",187,Series 7: The Contenders (2001),Action|Drama,Series7TheContenders2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30602"")",188,15 Minutes (2001),Thriller,15Minutes2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30603"")",189,Get Over It (2001),Comedy|Romance,GetOverIt2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30604"")",190,Blow Dry (a.k.a. Never Better) (2001),Comedy,BlowDryakaNeverBetter2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30605"")",191,When Brendan Met Trudy (2000),Comedy|Romance,WhenBrendanMetTrudy2000.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30606"")",192,Enemy at the Gates (2001),Drama|War,EnemyattheGates2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30607"")",193,Exit Wounds (2001),Action|Thriller,ExitWounds2001.jpg,,,
"ObjectId(""5aef41cb04dd5631c0b30608"")",194,Dish, The (2001),Comedy,DishThe2001.jpg,,
